nome;tipo;citta;provincia;indirizzo;email;telefono;sito;maps;priorita;fascia;fonte
Pista off-road Colorina;pista/club;Colorina;SO;;;;;https://www.google.com/maps/search/?api=1&query=Pista+off-road+Colorina+Colorina+SO;70;Alta;RCBazar/HobbyMedia
Model Club Pachino;pista/club;Pachino;SR;;;;;https://www.google.com/maps/search/?api=1&query=Model+Club+Pachino+Pachino+SR;70;Alta;RCBazar/HobbyMedia
Pista Rally Cairo Montenotte;pista/club;Cairo Montenotte;SV;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Rally+Cairo+Montenotte+Cairo+Montenotte+SV;70;Alta;RCBazar/HobbyMedia
Pista Cumarca;pista/club;Trapani;TP;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Cumarca+Trapani+TP;70;Alta;RCBazar/HobbyMedia
Z-Model indoor;pista/club;Vazzola;TV;;;;;https://www.google.com/maps/search/?api=1&query=Z-Model+indoor+Vazzola+TV;40;Media;RCBazar/HobbyMedia
Pista off-road Udine;pista/club;Udine;UD;;;;;https://www.google.com/maps/search/?api=1&query=Pista+off-road+Udine+Udine+UD;70;Alta;RCBazar/HobbyMedia
Nuova Pista Rivoli Veronese;pista/club;Rivoli Veronese;VR;;;;;https://www.google.com/maps/search/?api=1&query=Nuova+Pista+Rivoli+Veronese+Rivoli+Veronese+VR;70;Alta;RCBazar/HobbyMedia
Pista Daytona;pista/club;Villafranca di Verona;VR;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Daytona+Villafranca+di+Verona+VR;70;Alta;RCBazar/HobbyMedia
Il Cerchio Magico;negozio;Milano;;Via Vincenzo Monti 41 20123 Milano;ilcerchiomagico@fastwebnet.it;+39 02 48002126;http://giocattoliilcerchiomagico.it/;https://www.google.com/maps/search/?api=1&query=45.4706886,9.1692694;60;Alta;OpenStreetMap
RC Pro;shop online;;;;info@rcpro.it;;https://www.rcpro.it/;https://www.google.com/maps/search/?api=1&query=RC+Pro;60;Alta;Ricerca web
L'Aquilone;negozio;;;Via Val della Torre 106/c, 10149 Torino;;;http://www.automodelliaquilone.com/;https://www.google.com/maps/search/?api=1&query=45.0961,7.6517;40;Media;Scalemates
Trento Treno Modellismo;negozio;Trento;;Vicolo del Vò 58 38122 Trento;info@trentotreno.com;;http://www.trentotreno.com/;https://www.google.com/maps/search/?api=1&query=46.0707266,11.1239457;30;Media;OpenStreetMap
Modellismo Nalin;negozio;Este;;Viale dell'Industria 1b 35042 Este;info@modellismonalin.com;+39 0429 1700177;http://www.modellismonalin.com/;https://www.google.com/maps/search/?api=1&query=45.2203107,11.6797959;30;Media;OpenStreetMap
Portigliatti Treni;negozio;Torino;;Via Ascanio Sobrero 24/c 10144 Torino;ordini@portigliatti.it;;https://www.portigliatti.it/;https://www.google.com/maps/search/?api=1&query=45.0813966,7.6659890;30;Media;OpenStreetMap
Mantovani Modellismo;negozio;Como;;Via Vittorio Emanuele Secondo 74 Como;info@mantovanimodellismo.com;;https://www.mantovanimodellismo.com;https://www.google.com/maps/search/?api=1&query=45.8102384,9.0843520;30;Media;OpenStreetMap
EliShop;negozio;;;;info@elyshop.com;+39 0321 033186;https://www.elyshop.com/;https://www.google.com/maps/search/?api=1&query=45.4252610,8.6119153;30;Media;OpenStreetMap
Le Idee di Archimede;negozio;Tricase;;Via Gioacchino Toma 26 73039 Tricase;;;;https://www.google.com/maps/search/?api=1&query=39.9301870,18.3598873;30;Media;OpenStreetMap
Modellismo Doneda;negozio;Cesenatico;;Viale Giosuè Carducci 133f 47042 Cesenatico;info@modellismodoneda.it;+39 0547673404;https://modellismodoneda.it/;https://www.google.com/maps/search/?api=1&query=44.1971781,12.4087733;30;Media;OpenStreetMap
Modellismo Gianni;negozio;Roma;;Via Pier Vittorio Aldini 41 00178 Roma;info@modellismogianni.it;+39 06 72673332;https://www.modellismogianni.it;https://www.google.com/maps/search/?api=1&query=41.8230001,12.5821224;30;Media;OpenStreetMap
Masterdrone Store;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.3840912,7.5405989;30;Media;OpenStreetMap
Il Principe del Mare;negozio;Milano;;Corso Ventidue Marzo 48 20133 Milano;info@ilprincipedelmare.it;+39 02 7012 8513;https://ilprincipedelmare.it/;https://www.google.com/maps/search/?api=1&query=45.4620210,9.2222229;30;Media;OpenStreetMap
Granda Models Cuneo;negozio;;;Via Luigi Einaudi 10;info@grandamodels.it;;http://www.grandamodels.it;https://www.google.com/maps/search/?api=1&query=44.3784965,7.5355383;30;Media;OpenStreetMap
Model Toys;negozio;;;;modeltoysluca@hotmail.it;;http://www.modeltoys.it/;https://www.google.com/maps/search/?api=1&query=44.4036926,8.9563874;30;Media;OpenStreetMap
La Littorina;negozio;Marghera;;Via della Sortita 9 30175 Marghera;info@littorina.it;+39 329 6268039;https://www.littorina.it/;https://www.google.com/maps/search/?api=1&query=45.4775908,12.2232334;30;Media;OpenStreetMap
Modelstorming;negozio;Spoltore;;Via Italia 26 65010 Spoltore;modelstorming@gmail.com;+39 085 291191;https://modelstorming.business.site/;https://www.google.com/maps/search/?api=1&query=42.4573775,14.1919864;30;Media;OpenStreetMap
Modelworld 10;negozio;Pescara;;Via del Circuito 273 65124 Pescara;info@modelworld10.it;+39 085 413 955;https://www.modelworld10.it/;https://www.google.com/maps/search/?api=1&query=42.4597739,14.1961412;30;Media;OpenStreetMap
Modellismo e Hobbystica;negozio;Pescara;;Via Colle Innamorati 11/5 65125 Pescara;info@vrmodellismo.it;;https://www.vrmodellismo.it/;https://www.google.com/maps/search/?api=1&query=42.4649277,14.1815122;30;Media;OpenStreetMap
Spazio Battibaleno;negozio;Milano;;Via Padova 20132 Milano;scrivi@spaziobattibaleno.it;+39 02 23055660;https://spaziobattibaleno.it/;https://www.google.com/maps/search/?api=1&query=45.5054125,9.2423883;30;Media;OpenStreetMap
Modeltecnica;negozio;Milano;;Via Lorenteggio 124 20146 Milano;modeltecnica@tiscali.it;;https://www.modeltecnica.shop/;https://www.google.com/maps/search/?api=1&query=45.4505569,9.1378908;30;Media;OpenStreetMap
Hobby Shop;negozio;Palermo;;Via Terrasanta 77 90141 Palermo;info@hobbyshopmodellismo.com;+39 091 346166;https://www.hobbyshopmodellismo.com/;https://www.google.com/maps/search/?api=1&query=38.1296435,13.3451379;30;Media;OpenStreetMap
Electronic Dreams;negozio;Fornacette;;Via Tosco Romagnola 55 56012 Fornacette;info@electronicdreams.it;;https://www.electronicdreams.it/;https://www.google.com/maps/search/?api=1&query=43.6687606,10.5935816;30;Media;OpenStreetMap
RoCri;negozio;Roma;;Via Bari 2 00161 Roma;rocrimodellismo@gmail.com;+39 06 44230455;https://www.rocrimodellismo.com/;https://www.google.com/maps/search/?api=1&query=41.9105712,12.5137124;30;Media;OpenStreetMap
Model Marris;negozio;Montale;;Via Vandelli 2f 41051 Montale;info@modelmarris.com;+39 059 530462;https://www.modelmarris.com/;https://www.google.com/maps/search/?api=1&query=44.5788507,10.9091426;30;Media;OpenStreetMap
Tiny Cars;negozio;Milano;;Via Cenisio 19 20154 Milano;info@tinycars.it;+39 02 313830;https://www.tinycars.it/;https://www.google.com/maps/search/?api=1&query=45.4873179,9.1700828;30;Media;OpenStreetMap
Winternity.com;negozio;;;;info@winternity.com;+39 347 6963115;https://www.winternity.com/shop/it/;https://www.google.com/maps/search/?api=1&query=45.0801632,7.6221930;30;Media;OpenStreetMap
Steel Models;negozio;;;Vicolo Gela 2, 35020 Albignasego (PD);info@steelmodels.com;;https://www.steelmodels.com/;https://www.google.com/maps/search/?api=1&query=45.3580,11.8415;30;Media;Scalemates
Robotown;negozio;;;Via Cesare Maccari 98, 00125 Roma;info@robotown.it;;https://www.robotown.it/it/;https://www.google.com/maps/search/?api=1&query=41.7744,12.3574;30;Media;Scalemates
Padova Modellismo;negozio;;;Via G. Toaldo 33, 35136 Padova;info@padovamodellismo.it;;https://www.padovamodellismo.com/;https://www.google.com/maps/search/?api=1&query=45.4175,11.8355;30;Media;Scalemates
Modellismo Santomartino;negozio;;;Corso Secondigliano 512, 80144 Napoli;info@santomartino.it;;https://modellismosantomartino.it/;https://www.google.com/maps/search/?api=1&query=40.8951,14.2588;30;Media;Scalemates
Modellismo Baracca;negozio;;;Via Francesco Baracca 17, 20900 Monza;info@modellismobaracca.com;;https://www.modellismobaracca.com/;https://www.google.com/maps/search/?api=1&query=45.5906,9.2844;30;Media;Scalemates
Mini Eliso;negozio;;;Via degli Orti 19, 33050 Pozzuolo del Friuli (UD);mini.eliso@gmail.com;;https://www.minieliso.com/;https://www.google.com/maps/search/?api=1&query=45.9833,13.1962;30;Media;Scalemates
Labirinto Shop;negozio;;;Via Bondigli 112, 41124 Modena;info@labirintoshop.it;;http://www.labirintoshop.it;https://www.google.com/maps/search/?api=1&query=44.6378,10.9133;30;Media;Scalemates
Hobbytalia 2;negozio;;;Via degli Artisti 11d/e, 50132 Firenze;hobbitalia2@virgilio.it;;http://hobbitalia2.it/;https://www.google.com/maps/search/?api=1&query=43.7806,11.2693;30;Media;Scalemates
Dominiox;negozio;;;Via Gorizia 1A, 36100 Vicenza;support@dominiox.com;;https://www.dominiox.com/;https://www.google.com/maps/search/?api=1&query=45.5452,11.5414;30;Media;Scalemates
CMB - Centro Modellistica Barese;negozio;;;Via Enrico Toti 12, 70125 Bari;negozio@centromodellisticabarese.com;;https://www.centromodellisticabarese.com/;https://www.google.com/maps/search/?api=1&query=41.1134,16.8730;30;Media;Scalemates
CM Modellismo;negozio;;;Via Gaetano Astolfi 73, 00149 Roma;alvisini@cmmodellismo.com;;https://www.cmmodellismo.com/;https://www.google.com/maps/search/?api=1&query=41.8628,12.4580;30;Media;Scalemates
CDF Modellismo;negozio;;;Via Firenze 15, 95129 Catania;info@cdfmodellismo.com;;https://www.cdfmodellismo.com/;https://www.google.com/maps/search/?api=1&query=37.5169,15.0980;30;Media;Scalemates
Caputo Modellismo;negozio;;;Via Francesco Cilea 82, 80127 Napoli;info@caputomodellismo.it;;https://www.caputomodellismo.it/;https://www.google.com/maps/search/?api=1&query=40.8433,14.2231;30;Media;Scalemates
BSM Modellismo;negozio;;;Via Triestina Bassa 179, 30020 Eraclea (VE);info@bsmmodellismo.it;;https://www.bsmmodellismo.com/;https://www.google.com/maps/search/?api=1&query=45.6184,12.7260;30;Media;Scalemates
Astromodel;negozio;;;Via del Campasso 16, 16151 Genova;astromodel@astromodel.it;;https://www.astromodel.it/;https://www.google.com/maps/search/?api=1&query=44.4200,8.8879;30;Media;Scalemates
Casa del Modellismo;shop online;;;;info@casadelmodellismo.com;;https://www.casadelmodellismo.com/;https://www.google.com/maps/search/?api=1&query=Casa+del+Modellismo;30;Media;Ricerca web
Milan Model;shop online;;;;luigi@milanmodel.it;;https://www.modellismomilano.it/;https://www.google.com/maps/search/?api=1&query=Milan+Model;30;Media;Ricerca web
Walter;negozio;;;Via Roma 44;walter.modellismo@libero.it;;;https://www.google.com/maps/search/?api=1&query=44.3922125,7.5503052;20;Bassa;OpenStreetMap
La Ressia;negozio;Novalesa;;Via Susa 12 B 10050 Novalesa;;;http://www.laressia.it/;https://www.google.com/maps/search/?api=1&query=45.1864296,7.0140522;10;Bassa;OpenStreetMap
Modellistica del Carroccio;negozio;Legnano;;Via Sant'Ambrogio 4 20025 Legnano;;+39 0331 547632;https://www.lamodellistica.it/;https://www.google.com/maps/search/?api=1&query=45.5932484,8.9174427;10;Bassa;OpenStreetMap
Hobby Roma Modellismo;negozio;;;;;;https://www.modellismohobbyroma.com/;https://www.google.com/maps/search/?api=1&query=41.8660005,12.5380484;10;Bassa;OpenStreetMap
Jonathan;negozio;;;;;;https://www.jonathan.it/;https://www.google.com/maps/search/?api=1&query=41.7952646,12.4453837;10;Bassa;OpenStreetMap
Hobby House;negozio;Roma;;Viale Carnaro 28 00141 Roma;;+39 06 8718 1781;http://www.hobbyhouse.it/;https://www.google.com/maps/search/?api=1&query=41.9411880,12.5319773;10;Bassa;OpenStreetMap
2T Modellismo;negozio;;;;;;https://www.2tmodellismo.it/;https://www.google.com/maps/search/?api=1&query=42.9650880,12.6782747;10;Bassa;OpenStreetMap
ISACCO ...i treni;negozio;;;Corso Vittorio Emanuele II 36;;;https://www.isaccoitreni.com/;https://www.google.com/maps/search/?api=1&query=45.0610296,7.6843669;10;Bassa;OpenStreetMap
Fontana Treni;negozio;;;;;+39 050 531481;https://www.fontanatreni.com/;https://www.google.com/maps/search/?api=1&query=43.7070664,10.3830834;10;Bassa;OpenStreetMap
DJI Store Bergamo;negozio;Bergamo;;Via del Guerino 5 24123 Bergamo;;+39 035 1990 0472;https://djibg.it/;https://www.google.com/maps/search/?api=1&query=45.7127610,9.6810620;10;Bassa;OpenStreetMap
G.P. Modellismo;negozio;Siena;;Via Molise 15 53100 Siena;;;https://www.vario-helicopter.biz/it/;https://www.google.com/maps/search/?api=1&query=43.3431411,11.3106079;10;Bassa;OpenStreetMap
Terra Mare Cielo Modellismo;negozio;;;Via Enrico Nöe 15, 20133 Milano;;;https://www.terramarecielo.com/;https://www.google.com/maps/search/?api=1&query=45.4778,9.2189;10;Bassa;Scalemates
ST Model;negozio;;;Via de Luna 7, 07100 Sassari;;;https://www.stmodel.it/;https://www.google.com/maps/search/?api=1&query=40.7258,8.5557;10;Bassa;Scalemates
Romeo Models;negozio;;;Vicolo Gela 2, 35020 Albignasego (PD);;;https://www.romeomodels.com/;https://www.google.com/maps/search/?api=1&query=45.3580,11.8415;10;Bassa;Scalemates
RoCri Modellismo;negozio;;;Via Bari 2, 00161 Roma;;;https://www.rocrimodellismo.com/it/;https://www.google.com/maps/search/?api=1&query=41.9106,12.5137;10;Bassa;Scalemates
ModelToy;negozio;;;Via C. Colombo 8, 20066 Melzo (MI);;;https://www.modeltoy.it/;https://www.google.com/maps/search/?api=1&query=45.4974,9.4169;10;Bassa;Scalemates
MDM Miniatures;negozio;;;Via Cuneo 57, 10042 Nichelino (TO);;;https://www.ebay.it/str/mdmminiatures;https://www.google.com/maps/search/?api=1&query=45.0043,7.6624;10;Bassa;Scalemates
Mary Modellismo;negozio;;;Viale Trieste 23, 09123 Cagliari;;;https://www.facebook.com/MaryModellismo69/;https://www.google.com/maps/search/?api=1&query=39.2177,9.1079;10;Bassa;Scalemates
Mail Model;negozio;;;Viale Carducci 28, 18038 Sanremo (IM);;;https://www.mailmodel.it/;https://www.google.com/maps/search/?api=1&query=43.8156,7.7638;10;Bassa;Scalemates
Hobby Point;negozio;;;Via degli Scaligeri 4, 37012 Bussolengo (VR);;;http://www.hobbypoint.it/e-shop/;https://www.google.com/maps/search/?api=1&query=45.4669,10.8512;10;Bassa;Scalemates
Formula Uno SNC;negozio;;;Via Belgioioso 96, 61100 Pesaro;;;http://www.formula1shop.it/;https://www.google.com/maps/search/?api=1&query=43.8963,12.9103;10;Bassa;Scalemates
Edomodel;negozio;;;Via Genuzio Bentini 63/C, 40128 Bologna;;;https://www.edomodel.com/;https://www.google.com/maps/search/?api=1&query=44.5481,11.3570;10;Bassa;Scalemates
Dreoni Giocattoli e Modellismo;negozio;;;Piazza delle Cure 7r, 50133 Firenze;;;https://shop.dreoni.it/;https://www.google.com/maps/search/?api=1&query=43.7872,11.2696;10;Bassa;Scalemates
DiBi Model;negozio;;;Via A. Grandi 8, 71122 Foggia;;;https://www.dibimodel.it/;https://www.google.com/maps/search/?api=1&query=41.4622,15.5446;10;Bassa;Scalemates
Albert Model;negozio;;;Via XX Settembre 4, Brescia;;;https://www.albertmodel.com/;https://www.google.com/maps/search/?api=1&query=45.5342,10.2134;10;Bassa;Scalemates
Al Giocattolo di Contoli Stefano;negozio;;;Via Aldrovandi 16, 40026 Imola (BO);;;http://www.algiocattolo.it/;https://www.google.com/maps/search/?api=1&query=44.3523,11.7151;10;Bassa;Scalemates
2T Modellismo di Tordoni Tito;negozio;;;Via Giorgio Vasari 13, 06034 Foligno (PG);;;http://www.2tmodellismo.it;https://www.google.com/maps/search/?api=1&query=42.9665,12.6793;10;Bassa;Scalemates
Pieroni Modellismo;shop online;;;;;;https://www.pieronimodellismo.it/;https://www.google.com/maps/search/?api=1&query=Pieroni+Modellismo;10;Bassa;Ricerca web
Top Modellismo;shop online;;;;;;https://www.topmodellismo.it/;https://www.google.com/maps/search/?api=1&query=Top+Modellismo;10;Bassa;Ricerca web
DP Modellismo;shop online;;;;;;https://dpmodellismo.it/;https://www.google.com/maps/search/?api=1&query=DP+Modellismo;10;Bassa;Ricerca web
Parua Model;shop online;;;;;;https://www.paruamodel.it/;https://www.google.com/maps/search/?api=1&query=Parua+Model;10;Bassa;Ricerca web
Adria Model;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=45.7958428,12.8191832;0;Bassa;OpenStreetMap
Shop del modellismo;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.8866078,7.3414491;0;Bassa;OpenStreetMap
Modellismo;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=45.5827825,9.1451388;0;Bassa;OpenStreetMap
Modellismo Al Giocattolo;negozio;Imola;;Via Ulisse Aldrovandi 14a 40026 Imola;;;;https://www.google.com/maps/search/?api=1&query=44.3523372,11.7149642;0;Bassa;OpenStreetMap
ME 262 modellismo;negozio;;;Via Nino Bixio 115 98123;;;;https://www.google.com/maps/search/?api=1&query=38.1835501,15.5518857;0;Bassa;OpenStreetMap
Amati Modellismo;negozio;Torino;;Piazza Arturo Graf 118/b 10126 Torino;;;;https://www.google.com/maps/search/?api=1&query=45.0453160,7.6736508;0;Bassa;OpenStreetMap
Märklin Umberto Rossi;negozio;Bologna;;Via Valdossola 1 40134 Bologna;;+39 051 6140193;;https://www.google.com/maps/search/?api=1&query=44.4970773,11.3180673;0;Bassa;OpenStreetMap
Modellismo Z-Model;negozio;;;Via Mario Bertuol 32;;;;https://www.google.com/maps/search/?api=1&query=45.6394816,12.2424643;0;Bassa;OpenStreetMap
Modellismo Varesino;negozio;;;;;+39 0332 892467;;https://www.google.com/maps/search/?api=1&query=45.7539248,8.8098657;0;Bassa;OpenStreetMap
Il Motore;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=44.1095922,9.9188879;0;Bassa;OpenStreetMap
Ready to win. Model;negozio;Bergamo;;Via Pignolo 27d 24121 Bergamo;;;;https://www.google.com/maps/search/?api=1&query=45.6989453,9.6756100;0;Bassa;OpenStreetMap
Gamba Giuseppe modellismo;negozio;Bergamo;;Via Giuseppe Garibaldi 4a 24122 Bergamo;;;;https://www.google.com/maps/search/?api=1&query=45.6954741,9.6651239;0;Bassa;OpenStreetMap
ModelBerg;negozio;Bergamo;;Via Gianbattista Moroni 38 24122 Bergamo;;;;https://www.google.com/maps/search/?api=1&query=45.6916790,9.6630328;0;Bassa;OpenStreetMap
Modellismo Riccione;negozio;;;Viale Giuseppe Verdi 16;;;;https://www.google.com/maps/search/?api=1&query=44.0113773,12.6463718;0;Bassa;OpenStreetMap
Model Treno;negozio;Verona;;Piazza San Zeno 8 A 37123 Verona;;;;https://www.google.com/maps/search/?api=1&query=45.4424716,10.9780176;0;Bassa;OpenStreetMap
Parmamodel;negozio;Parma;;Strada Nino Bixio 116/c 43125 Parma;;;;https://www.google.com/maps/search/?api=1&query=44.7972757,10.3192479;0;Bassa;OpenStreetMap
Emporio 45 - modellismo;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=43.4569023,12.2401453;0;Bassa;OpenStreetMap
Modellismo Mannucci;negozio;;;Viale Carnaro 15d;; +39 06 87181817;;https://www.google.com/maps/search/?api=1&query=41.9405546,12.5318384;0;Bassa;OpenStreetMap
Brama modellismo e giochi;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=43.0853153,12.3659505;0;Bassa;OpenStreetMap
Modellismo Magistroni;negozio;Pero;;Via Sempione 26 20016 Pero;;;;https://www.google.com/maps/search/?api=1&query=45.5088592,9.0902773;0;Bassa;OpenStreetMap
Lorenzi Modellismo;negozio;Malcesine;;Via Casella 30 37018 Malcesine;;+39 0456 570243;;https://www.google.com/maps/search/?api=1&query=45.7653081,10.8084802;0;Bassa;OpenStreetMap
Cartoleria Meravigua;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=45.8236491,13.5013712;0;Bassa;OpenStreetMap
Redis Model;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=43.7712506,11.2358487;0;Bassa;OpenStreetMap
Jonathan srl;negozio;Passo Correse;;Viale dell'Industria 1 02032 Passo Correse;;;;https://www.google.com/maps/search/?api=1&query=42.1691987,12.6395636;0;Bassa;OpenStreetMap
Model Making 18 - modellismo;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=43.4591691,12.2389423;0;Bassa;OpenStreetMap
Modelismo Giocattoli;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=43.7799154,11.2378989;0;Bassa;OpenStreetMap
Ho Modellismo;negozio;Piacenza;;Via Camillo Cavour 41 29121 Piacenza;;;;https://www.google.com/maps/search/?api=1&query=45.0538337,9.6953793;0;Bassa;OpenStreetMap
Modellismo Rossi;negozio;;;Largo Leonardo da Vinci 2a;;;;https://www.google.com/maps/search/?api=1&query=41.8569472,12.4811149;0;Bassa;OpenStreetMap
Modellismo Marily;negozio;Ventimiglia;;Via Lodovico Aprosio 23c 18039 Ventimiglia;;+39 0184 352512;;https://www.google.com/maps/search/?api=1&query=43.7918491,7.6076795;0;Bassa;OpenStreetMap
Hobby Modellismo;negozio;Villanova di Castenaso;;Via Bruno Tosarelli 340c 40055 Villanova di Castenaso;;3,90516E+11;;https://www.google.com/maps/search/?api=1&query=44.4988092,11.4281115;0;Bassa;OpenStreetMap
Ideal Model;negozio;;;;;;;https://www.google.com/maps/search/?api=1&query=37.5206400,15.0912465;0;Bassa;OpenStreetMap
